Area,Unit,Sensor,xCoordinate,yCoordinate
0003,001,4,31.209798652395303,29.92117193716027
0003,002,1,31.209795928024953,29.92114416178372
0003,002,2,31.209804220483154,29.92119468938279
0003,002,3,31.209819584349777,29.921236851249724
0003,002,4,31.20984051971909,29.921296937462365
0003,003,1,31.20986986963665,29.92136514307471
0003,003,2,31.20988805238841,29.921412280929783
0003,003,3,31.209923155433476,29.92151474595176
0003,003,4,31.209942742767986,29.921573394990165
0003,004,1,31.209960963210744,29.92161087494889
0003,004,2,31.20998359764131,29.921707119648865
0003,005,1,31.209684941281935,29.92098770597714
0003,005,2,31.20970296820701,29.921037216435252
0003,005,3,31.209718144241172,29.921075369477826
0003,005,4,31.209718144241172,29.921075369477826
0003,006,1,31.20974168365213,29.921139265903577
0003,006,1,31.20978059653723,29.921282461663164
0003,006,2,31.209808460883313,29.921324673142834
0003,006,3,31.20982802922607,29.921440078429868
0003,006,4,31.209857468904115,29.921531112855615
0003,007,1,31.209886887608178,29.921581562040725
0003,007,2,31.209907908725395,29.92166140873665
0003,007,3,31.209941499997058,29.92172827084322
0003,007,4,31.20996406953516,29.92181317958056
0003,008,1,31.20998514730436,29.92189648908443
0004,001,1,31.209996358547222,29.921965078630663
0004,001,2,31.2099599651024,29.92201069380388
0004,001,3,31.209917900340493,29.922046363760366
0004,001,4,31.209875873502863,29.922083607312754
0004,002,1,31.20980590823376,29.92212867612264
0004,002,2,31.20972917125228,29.92218184849088
0004,002,3,31.20967476880434,29.92222802606234
0004,002,4,31.209648292786657,29.922256365479686
0004,003,1,31.209599754859806,29.92228883341828
0004,003,2,31.209508288117647,29.92238708726056
0004,003,3,31.209483416745847,29.922430284618187
0004,003,4,31.209458568831927,29.922484818588984
0004,004,1,31.2094110596698,29.9226670966412
0004,004,2,31.20937560999026,29.92277502944677
0004,004,3,31.209341985325032,29.92286722827747
0004,004,4,31.209322447832616,29.922932532483117
0004,005,1,31.209311113243775,29.92298884126379
0004,005,2,31.209293022275638,29.92302615386749
0004,005,3,31.209261724311787,29.923092258355652
0004,005,4,31.20923511810113,29.923170902377464
0004,006,1,31.209184077413745,29.92333851574501
0004,006,2,31.20914162449866,29.923526771288117
0004,006,3,31.20908724719741,29.923707714031973
0004,006,4,31.209027850550168,29.92385702328122
0004,007,1,31.208996969339605,29.923935907233336
0004,007,2,31.208967412213525,29.92402013747601
0004,007,3,31.20891709895124,29.924152802729783
0004,007,4,31.20887809083239,29.924226179294916
0004,008,1,31.208827880387762,29.924345058942077
0004,008,2,31.208783186515202,29.924436407036712
0004,008,3,31.208738418171386,29.92453932337078
0004,008,4,31.208688669382884,29.92467075218994
0004,008,1,31.208648488172233,29.92474857864824
